Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
9.400,0.972,-0.37,0.0
9.450,0.954,-0.37,0.0
9.500,0.935,-0.37,0.0
9.550,0.916,-0.37,0.0
9.600,0.898,-0.37,-9.2E-5
9.650,0.879,-0.37,0.0
9.700,0.860,-0.37,0.0
9.750,0.842,-0.37,0.0
9.800,0.823,-0.37,0.0
9.850,0.805,-0.37,0.0
9.900,0.786,-0.37,-4.2E-4
9.950,0.767,-0.37,0.0
10.000,0.749,-0.37,0.0
10.050,0.730,-0.37,0.0
10.100,0.712,-0.37,0.0
10.150,0.693,-0.37,0.0
10.200,0.675,-0.37,0.0
10.250,0.656,-0.37,0.0
10.300,0.638,-0.37,0.0
10.350,0.620,-0.37,0.0
10.400,0.601,-0.37,0.0
10.450,0.583,-0.37,0.0
10.500,0.565,-0.36,0.0
10.550,0.546,-0.36,0.0
10.600,0.528,-0.36,0.0
10.650,0.510,-0.36,0.0
10.700,0.492,-0.36,0.0
10.750,0.474,-0.36,-0.1
10.800,0.456,-0.37,0.0
10.850,0.437,-0.37,0.1
10.900,0.418,-0.35,0.2
10.950,0.403,-0.34,0.1
11.000,0.385,-0.34,0.0
11.050,0.367,-0.35,0.0
11.100,0.350,-0.35,0.0
11.150,0.332,-0.35,0.0
11.200,0.315,-0.36,0.0
11.250,0.296,-0.35,0.2
11.300,0.279,-0.34,0.6
11.350,0.262,-0.31,1.4
11.400,0.246,-0.21,2.4
11.450,0.237,-0.05,3.0
11.500,0.241,0.12,2.7
11.550,0.252,0.25,1.9
11.600,0.268,0.31,1.0
11.650,0.284,0.33,0.4
11.700,0.300,0.33,0.1
11.750,0.318,0.33,0.0
11.800,0.334,0.33,-0.1
11.850,0.350,0.32,-0.1
11.900,0.366,0.32,-0.1
11.950,0.382,0.31,-0.1
12.000,0.398,0.30,0.0
12.050,0.411,0.30,0.1
12.100,0.427,0.32,0.2
12.150,0.443,0.33,0.1
12.200,0.461,0.33,0.0
12.250,0.477,0.32,-0.1
12.300,0.493,0.32,-0.1
