Time (s) Background,Geiger Counts (counts/sample) Background,RootN (cts/5s) Background,Background Subtracted (cts/5s) Background,Time (s) Background2,Geiger Counts (counts/sample) Background2,RootN (cts/5s) Background2,Background Subtracted (cts/5s) Background2,Time (s) Barium,Geiger Counts (counts/sample) Barium,RootN (cts/5s) Barium,Background Subtracted (cts/5s) Barium,Time (s) Radium,Geiger Counts (counts/sample) Radium,RootN (cts/5s) Radium,Background Subtracted (cts/5s) Radium,Time (s) RadSamples,Geiger Counts (counts/sample) RadSamples,RootN (cts/5s) RadSamples,Background Subtracted (cts/5s) RadSamples
,,,,2365.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2370.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2375.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2380.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2385.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2390.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2395.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2400.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2405.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2410.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2415.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2420.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2425.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2430.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2435.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2440.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2445.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2450.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2455.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2460.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2465.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2470.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2475.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2480.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2485.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2490.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2495.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2500.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2505.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2510.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2515.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2520.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2525.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2530.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2535.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2540.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2545.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2550.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2555.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2560.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2565.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2570.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2575.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2580.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2585.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2590.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2595.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2600.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2605.000,5,0.06,3.48,,,,,,,,,,,,
,,,,2610.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2615.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2620.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2625.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2630.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2635.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2640.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2645.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2650.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2655.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2660.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2665.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2670.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2675.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2680.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2685.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2690.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2695.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2700.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2705.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2710.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2715.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2720.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2725.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2730.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2735.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2740.000,6,0.06,4.48,,,,,,,,,,,,
,,,,2745.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2750.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2755.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2760.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2765.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2770.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2775.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2780.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2785.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2790.000,5,0.06,3.48,,,,,,,,,,,,
,,,,2795.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2800.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2805.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2810.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2815.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2820.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2825.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2830.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2835.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2840.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2845.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2850.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2855.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2860.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2865.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2870.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2875.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2880.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2885.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2890.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2895.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2900.000,2,0.06,0.48,,,,,,,,,,,,
,,,,2905.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2910.000,3,0.06,1.48,,,,,,,,,,,,
,,,,2915.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2920.000,1,0.06,-0.52,,,,,,,,,,,,
,,,,2925.000,4,0.06,2.48,,,,,,,,,,,,
,,,,2930.000,0,0.06,-1.52,,,,,,,,,,,,
,,,,2935.000,2,0.05,0.48,,,,,,,,,,,,
,,,,2940.000,5,0.06,3.48,,,,,,,,,,,,
,,,,2945.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,2950.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,2955.000,3,0.05,1.48,,,,,,,,,,,,
,,,,2960.000,5,0.05,3.48,,,,,,,,,,,,
,,,,2965.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,2970.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,2975.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,2980.000,3,0.05,1.48,,,,,,,,,,,,
,,,,2985.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,2990.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,2995.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3000.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3005.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3010.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3015.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3020.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3025.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3030.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3035.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3040.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3045.000,5,0.05,3.48,,,,,,,,,,,,
,,,,3050.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3055.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3060.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3065.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3070.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3075.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3080.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3085.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3090.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3095.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3100.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3105.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3110.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3115.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3120.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3125.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3130.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3135.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3140.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3145.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3150.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3155.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3160.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3165.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3170.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3175.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3180.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3185.000,6,0.05,4.48,,,,,,,,,,,,
,,,,3190.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3195.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3200.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3205.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3210.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3215.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3220.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3225.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3230.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3235.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3240.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3245.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3250.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3255.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3260.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3265.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3270.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3275.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3280.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3285.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3290.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3295.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3300.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3305.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3310.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3315.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3320.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3325.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3330.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3335.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3340.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3345.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3350.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3355.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3360.000,8,0.05,6.48,,,,,,,,,,,,
,,,,3365.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3370.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3375.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3380.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3385.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3390.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3395.000,0,0.05,-1.52,,,,,,,,,,,,
,,,,3400.000,4,0.05,2.48,,,,,,,,,,,,
,,,,3405.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3410.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3415.000,2,0.05,0.48,,,,,,,,,,,,
,,,,3420.000,1,0.05,-0.52,,,,,,,,,,,,
,,,,3425.000,3,0.05,1.48,,,,,,,,,,,,
,,,,3430.000,1,0.05,-0.52,,,,,,,,,,,,
