v1 (m/s),t1 (s),v2 (m/s),t2 (s),a (m/s^2)
0.4,2.07,0.5,2.843,0.1293661061
0.4,1.728,0.5,2.496,0.1302083333
0.4,1.778,0.5,2.541,0.131061599
0.4,1.752,0.5,2.521,0.1300390117
