v1 (m/s),t1 (s),v2 (m/s),t2 (s),a (m/s^2)
0.5,1.065,0.6,1.751,0.1457725948
0.5,1.552,0.6,2.221,0.1494768311
0.5,1.649,0.6,2.303,0.1529051988
0.5,1.486,0.6,2.139,0.1531393568
